"107年11月30日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"玻璃陶瓷類報酬指數","41.19","+","0.13","0.32",
"造紙類報酬指數","264.53","+","4.83","1.86",
"鋼鐵類報酬指數","149.22","+","0.11","0.07",
"橡膠類報酬指數","353.60","+","2.96","0.84",
"汽車類報酬指數","269.05","+","2.53","0.95",
"電子類報酬指數","641.68","-","1.28","-0.20",
"半導體類報酬指數","237.14","-","1.95","-0.82",
"電腦及週邊設備類報酬指數","148.28","+","1.76","1.20",
"光電類報酬指數","44.96","-","0.48","-1.06",
"通信網路類報酬指數","217.18","+","0.25","0.12",
"電子零組件類報酬指數","142.36","+","1.89","1.35",
"電子通路類報酬指數","202.51","+","0.82","0.41",
"資訊服務類報酬指數","168.64","+","1.52","0.91",
"其他電子類報酬指數","98.42","+","1.66","1.72",
"建材營造類報酬指數","429.77","-","1.20","-0.28",
"航運類報酬指數","84.23","-","0.61","-0.72",
"觀光類報酬指數","134.90","+","0.89","0.66",
"金融保險類報酬指數","1,786.28","+","1.53","0.09",
"貿易百貨類報酬指數","346.54","-","3.78","-1.08",
"油電燃氣類報酬指數","197.10","+","0.76","0.39",
"其他類報酬指數","352.25","-","0.43","-0.12",
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","163,077,116,034","3,897,716,239","1,062,531",
"2.台灣存託憑證","12,475,821","2,486,591","484",
"3.受益憑證","0","0","0",
"4.ETF","5,680,448,062","368,500,119","45,761",
"5.受益證券","1,157,470","82,000","46",
"6.變更交易股票","7,807,407","3,009,413","521",
"7.認購(售)權證","2,551,285,920","2,335,254,000","85,474",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"證券合計(1+6)","163,084,923,441","3,900,725,652","1,063,052",
"總計(1~12)","171,330,290,714","6,607,048,362","1,194,817",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","3,843(10)","479(8)",
"下跌(跌停)","3,938(59)","332(0)",
"持平","655","99",
"未成交","8,182","2",
"無比價","1,075","6",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",

