"106年10月16日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"其他電子類報酬指數","147.00","+","1.44","0.99",
"建材營造類報酬指數","384.26","+","0.61","0.16",
"航運類報酬指數","85.09","+","0.14","0.16",
"觀光類報酬指數","149.84","-","0.69","-0.46",
"金融保險類報酬指數","1,609.13","+","2.33","0.15",
"貿易百貨類報酬指數","285.27","+","0.55","0.19",
"油電燃氣類報酬指數","177.13"," ","--","--",
"其他類報酬指數","354.46","+","0.23","0.06",
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","117,781,127,356","2,493,600,889","931,756",
"2.台灣存託憑證","62,057,283","18,375,446","1,401",
"3.受益憑證","0","0","0",
"4.ETF","5,605,905,374","282,636,720","40,325",
"5.受益證券","12,477,220","969,000","125",
"6.變更交易股票","71,633,954","18,072,862","2,028",
"7.認購(售)權證","3,298,889,180","2,883,738,000","100,765",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"證券合計(1+6)","117,852,761,310","2,511,673,751","933,784",
"總計(1~12)","126,832,090,367","5,697,392,917","1,076,400",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","3,817(15)","409(12)",
"下跌(跌停)","3,020(27)","364(0)",
"持平","590","112",
"未成交","4,112","8",
"無比價","1,047","6",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",

